,Year,Location Short,Location,Data Value 1,Data Value 2,Low Confidence Limit,High Confidence Limit,Lat and Long,Location ID,Category
37851,2016,CA,California,3.5,3.5,3.3,3.7,"(37.63864012300047, -120.99999953799971)",6,OVERALL
37852,2016,CO,Colorado,3.6,3.6,3.4,3.8,"(38.843840757000464, -106.13361092099967)",8,OVERALL
37853,2016,CT,Connecticut,3.8,3.8,3.5,4.0,"(41.56266102000046, -72.64984095199964)",9,OVERALL
37854,2016,DE,Delaware,3.7,3.7,3.3,4.1,"(39.008830667000495, -75.57774116799965)",10,OVERALL
37855,2016,DC,District of Columbia,3.3,3.3,3.1,3.6,"(38.907192, -77.036871)",11,OVERALL
37856,2016,FL,Florida,3.7,3.7,3.5,3.9,"(28.932040377000476, -81.92896053899966)",12,OVERALL
37857,2016,GA,Georgia,3.7,3.7,3.4,4.1,"(32.83968109300048, -83.62758034599966)",13,OVERALL
37858,2016,HI,Hawaii,3.2,3.2,2.9,3.4,"(21.304850435000446, -157.85774940299973)",15,OVERALL
37859,2016,ID,Idaho,3.6,3.6,3.3,3.9,"(43.682630005000476, -114.3637300419997)",16,OVERALL
37860,2016,IL,Illinois,3.4,3.4,3.2,3.7,"(40.48501028300046, -88.99771017799969)",17,OVERALL
37861,2016,IN,Indiana,4.2,4.2,4.0,4.5,"(39.766910452000445, -86.14996019399968)",18,OVERALL
37862,2016,IA,Iowa,3.3,3.3,3.1,3.6,"(42.46940091300047, -93.81649055599968)",19,OVERALL
37863,2016,KS,Kansas,3.3,3.3,3.1,3.5,"(38.34774030000045, -98.20078122699965)",20,OVERALL
37864,2016,KY,Kentucky,4.7,4.7,4.4,5.1,"(37.645970271000465, -84.77497104799966)",21,OVERALL
37865,2016,LA,Louisiana,4.2,4.2,3.9,4.6,"(31.31266064400046, -92.44568007099969)",22,OVERALL
37866,2016,ME,Maine,4.4,4.4,4.1,4.7,"(45.254228894000505, -68.98503133599962)",23,OVERALL
37867,2016,MD,Maryland,3.4,3.4,3.2,3.6,"(39.29058096400047, -76.60926011099963)",24,OVERALL
37868,2016,MA,Massachusetts,3.9,3.9,3.7,4.2,"(42.27687047000046, -72.08269067499964)",25,OVERALL
37869,2016,MI,Michigan,4.4,4.4,4.2,4.6,"(44.6613195430005, -84.71439026999968)",26,OVERALL
37870,2016,MN,Minnesota,3.2,3.2,3.0,3.4,"(46.35564873600049, -94.79420050299967)",27,OVERALL
37871,2016,MS,Mississippi,4.4,4.4,4.0,4.8,"(32.745510099000455, -89.53803082499968)",28,OVERALL
37872,2016,MO,Missouri,4.3,4.3,3.9,4.6,"(38.635790776000476, -92.56630005299968)",29,OVERALL
37873,2016,MT,Montana,3.5,3.5,3.1,3.8,"(47.06652897200047, -109.42442064499971)",30,OVERALL
37874,2016,NE,Nebraska,3.2,3.2,3.0,3.4,"(41.6410409880005, -99.36572062299967)",31,OVERALL
37875,2016,NV,Nevada,4.5,4.5,4.1,4.9,"(39.493240390000494, -117.07184056399967)",32,OVERALL
37876,2016,NH,New Hampshire,4.2,4.2,3.8,4.6,"(43.65595011300047, -71.50036091999965)",33,OVERALL
37877,2016,NJ,New Jersey,3.4,3.4,3.1,3.7,"(40.13057004800049, -74.27369128799967)",34,OVERALL
37878,2016,NM,New Mexico,4.0,4.0,3.7,4.3,"(34.52088095200048, -106.24058098499967)",35,OVERALL
37879,2016,NY,New York,3.6,3.6,3.4,3.7,"(42.82700103200045, -75.54397042699964)",36,OVERALL
37880,2016,NC,North Carolina,3.9,3.9,3.6,4.1,"(35.466220975000454, -79.15925046299964)",37,OVERALL
